,VENDOR SCORECARD TEMPLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRITERIA CHECKLIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*Prior to use, update criteria as needed to be consistent with RFP. 
 Update basis for scoring to have qualitative scoring details.",,,,,,,,Scores Available from 1-5. Basis for scoring must be listed with specific examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Adherence to RFP Instructions,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timeliness,,5,5,5,3,3,3,"1-2 days =5, 3-4 days=3, 5days more=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Completeness,,5,5,5,3,3,3,"100% = 5, 50-90%=3, less 50%=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Quality & Level of Professionalism,,5,5,5,5,5,5,"very proffesional =5, standard = 3, amateur =1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Response,,3,3,3,1,1,1,"1-2 days =5, 3-4 days=3, 5days more=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Score,,5,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Company Information,,Pennant 50k loans,Pennant 25K loans,Nucleus,Habile,Perfios,Salesforce,BASIS FOR SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial Viability,,5,5,5,5,5,5,"strong=5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Organizational Structure,,5,5,5,5,5,5,"proffesional organized =5, medium=3, low=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experience with Similar Companies,,5,5,5,3,3,3,"10 companies=5, 5-9=3, less 5=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
